price,rooms,size
"
                343.900 €
            ","
        ","
        "
"
                219.000 €
            ","
        ","
        "
"
                398.900 €
            ","
        ","
        "
"
                1.799.000 €
            ","
        ","
        "
"
                299.000 €
            ","
        ","
        "
"
                319.000 €
            ","
        ","
        "
"
                557.800 €
            ","
        ","
        "
"
                319.000 €
            ","
        ","
        "
"
                343.900 €
            ","
        ","
        "
"
                219.000 €
            ","
        ","
        "
"
                398.900 €
            ","
        ","
        "
"
                1.799.000 €
            ","
        ","
        "
